id,name
NOMO,Northern Mockingbird
NOPA,Northern Parula
NOPI,Northern Pintail
NOWA,Northern Waterthrush
NOWH,Northern Wheatear
NRWS,Northern Rough-winged Swallow
NSHO,Northern Shoveler
NSHR,Northern Shrike
NSTS,Nelson's Sparrow
NSWO,Northern Saw-whet Owl
OCWA,Orange-crowned Warbler
OROR,Orchard Oriole
OSFL,Olive-sided Flycatcher
OSPR,Osprey
OVEN,Ovenbird
PABU,Painted Bunting
PAJA,Parasitic Jaeger
PALO,Pacific Loon
PARE,Painted Redstart
PAWA,Palm Warbler
PBGR,Pied-billed Grebe
PEFA,Peregrine Falcon
PESA,Pectoral Sandpiper
PFGO,Pink-footed Goose
PHAI,Phainopepla
PHVI,Philadelphia Vireo
PIGR,Pine Grosbeak
PIPL,Piping Plover
PISI,Pine Siskin
PIWA,Pine Warbler
PIWO,Pileated Woodpecker
PLVI,Plumbeous Vireo
POJA,Pomarine Jaeger
PRAW,Prairie Warbler
PRFA,Prairie Falcon
PROW,Prothonotary Warbler
PUFI,Purple Finch
PUGA,Purple Gallinule
PUMA,Purple Martin
PUSA,Purple Sandpiper
PYRR,Pyrrhuloxia
RAZO,Razorbill
RBGR,Rose-breasted Grosbeak
RBGU,Ring-billed Gull
RBME,Red-breasted Merganser
RBNU,Red-breasted Nuthatch
RBWO,Red-bellied Woodpecker
RCKI,Ruby-crowned Kinglet
RECR,Red Crossbill
REDH,Redhead
REEG,Reddish Egret
REKN,Red Knot
REPH,Red Phalarope
REVI,Red-eyed Vireo
RHWO,Red-headed Woodpecker
RIPH,Ring-necked Pheasant
RLHA,Rough-legged Hawk
RNDU,Ring-necked Duck
RNGR,Red-necked Grebe
RNPH,Red-necked Phalarope
ROGO,Ross's Goose
ROGU,Ross's Gull
ROPI,Rock Pigeon (Feral Pigeon)
ROPT,Rock Ptarmigan
ROSP,Roseate Spoonbill
ROWR,Rock Wren
ROYT,Royal Tern
RSHA,Red-shouldered Hawk
RTHA,Red-tailed Hawk
RTHU,Ruby-throated Hummingbird
RTLO,Red-throated Loon
RUBL,Rusty Blackbird
RUDU,Ruddy Duck
RUFF,Ruff
RUGR,Ruffed Grouse
RUHU,Rufous Hummingbird
RUTU,Ruddy Turnstone
RWBL,Red-winged Blackbird
SACR,Sandhill Crane
SAGU,Sabine's Gull
SAND,Sanderling
SAPH,Say's Phoebe
SATE,Sandwich Tern
SATH,Sage Thrasher
SAVS,Savannah Sparrow
SBCU,Slender-billed Curlew
SBDO,Short-billed Dowitcher
SBFL,Sulphur-bellied Flycatcher
SBGU,Slaty-backed Gull
SCOR,Scott's Oriole
SCTA,Scarlet Tanager
SEOW,Short-eared Owl
SEPL,Semipalmated Plover
SESA,Semipalmated Sandpiper
SEWR,Sedge Wren
SHAS,Sharp-tailed Sandpiper
SIRU,Siberian Rubythroat
SMEW,Smew
SMLO,Smith's Longspur
SNBU,Snow Bunting
SNEG,Snowy Egret
SNGO,Snow Goose
SNOW,Snowy Owl
SNPL,Snowy Plover
SORA,Sora
SOSA,Solitary Sandpiper
SOSP,Song Sparrow
SOTE,Sooty Tern
SPGR,Spruce Grouse
SPPI,Sprague's Pipit
SPRE,Spotted Redshank
SPSA,Spotted Sandpiper
SPTO,Spotted Towhee
SSHA,Sharp-shinned Hawk
STFL,Scissor-tailed Flycatcher
STGR,Sharp-tailed Grouse
STKI,Swallow-tailed Kite
STSA,Stilt Sandpiper
SUSC,Surf Scoter
SUTA,Summer Tanager
SWHA,Swainson's Hawk
SWSP,Swamp Sparrow
SWTH,Swainson's Thrush
SWWA,Swainson's Warbler
TBKI,Thick-billed Kingbird
TBMU,Thick-billed Murre
TEWA,Tennessee Warbler
TOSO,Townsend's Solitaire
TOWA,Townsend's Warbler
TRES,Tree Swallow
TRHE,Tricolored Heron
TRKI,Tropical Kingbird
TRUS,Trumpeter Swan
TUDU,Tufted Duck
TUSW,Tundra Swan
TUTI,Tufted Titmouse
TUVU,Turkey Vulture
UPSA,Upland Sandpiper
VABU,Varied Bunting
VAFL,Variegated Flycatcher
VATH,Varied Thrush
VEER,Veery
VEFL,Vermilion Flycatcher
VESP,Vesper Sparrow
VGSW,Violet-green Swallow
VIRA,Virginia Rail
VIWA,Virginia's Warbler
WATA,Wandering Tattler
WAVI,Warbling Vireo
WBNU,White-breasted Nuthatch
WCPI,White-crowned Pigeon
WCSP,White-crowned Sparrow
WCSW,White-collared Swift
WEGR,Western Grebe
WEKI,Western Kingbird
WEME,Western Meadowlark
WESA,Western Sandpiper
WETA,Western Tanager
WEVI,White-eyed Vireo
WEWA,Worm-eating Warbler
WEWP,Western Wood-Pewee
WFIB,White-faced Ibis
WHCR,Whooping Crane
WHIB,White Ibis
WHIM,Whimbrel
WHWA,White Wagtail
WIFL,Willow Flycatcher
WILL,Willet
WIPH,Wilson's Phalarope
WIPL,Wilson's Plover
WIPT,Willow Ptarmigan
WISN,Wilson's Snipe
WISP,Wilson's Storm-Petrel
WITU,Wild Turkey
WIWA,Wilson's Warbler
WIWR,Winter Wren
WODU,Wood Duck
WOST,Wood Stork
WOTH,Wood Thrush
WRSA,White-rumped Sandpiper
WTSP,White-throated Sparrow
WWCR,White-winged Crossbill
WWDO,White-winged Dove
WWSC,White-winged Scoter
WWTE,White-winged Tern
YBCH,Yellow-breasted Chat
YBCU,Yellow-billed Cuckoo
YBFL,Yellow-bellied Flycatcher
YBLO,Yellow-billed Loon
YBSA,Yellow-bellied Sapsucker
YCNH,Yellow-crowned Night-Heron
YERA,Yellow Rail
YHBL,Yellow-headed Blackbird
YNAL,Yellow-nosed Albatross
YRWA,Yellow-rumped Warbler
YTVI,Yellow-throated Vireo
YTWA,Yellow-throated Warbler
YWAR,Yellow Warbler
