sort,UniqueID,SurveyDate,Time,Visit,Observer,SurveyType,NoiseLevel,SPECIES,Count,TimeInterval,DISTANCE,FID,Strata,Plot,Station,Latitude,Longitude,Join_Count,YearLoss,Class_Name,ModisLCC,FIRENAME,YEAR,Disturbance,PKEY,PKEYm,Noise,JULIAN,JDAY,srise,start_time,TSSR,Interval,SS,RandomSel
29,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,HUM,Moderate,MYWA,1,0-1 min,0-49 m,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_H,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
30,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,HETH,1,5-6 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
31,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,RESQ,1,0-1 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
32,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,FOSP,1,0-1 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
33,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,COLO,1,4-5 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,3-5 min,5.041,1
34,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,CHSP,1,3-4 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,3-5 min,5.041,1
35,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,DEJU,1,1-2 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
36,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,MYWA,1,4-5 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,3-5 min,5.041,1
37,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,WIWA,1,6-7 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,5-10 min,5.041,1
38,05-041-02,22-Jun-15,8:40:00 AM,1,CMC,ARU,Light,MYWA,1,2-3 min,ARU,45,5,41,2,58.13458528,-109.420865,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-02_1,05-041-02_1_A,1,172,0.471232877,4.216300914,8.666666667,0.185431906,0-3 min,5.041,1
